Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO region
Chongqing,China,30.0572,107.874,2020-01-23,9,0,0,9,WPRO
Fujian,China,26.0789,117.9874,2020-01-23,5,0,0,5,WPRO
Gansu,China,35.7518,104.2861,2020-01-23,2,0,0,2,WPRO
Guangdong,China,23.3417,113.4244,2020-01-23,32,0,2,30,WPRO
Guangxi,China,23.8298,108.7881,2020-01-23,5,0,0,5,WPRO
Guizhou,China,26.8154,106.8748,2020-01-23,3,0,0,3,WPRO
Hainan,China,19.1959,109.7453,2020-01-23,5,0,0,5,WPRO
Hebei,China,39.549,116.1306,2020-01-23,1,1,0,0,WPRO
Heilongjiang,China,47.861999999999995,127.7615,2020-01-23,2,0,0,2,WPRO
Henan,China,37.8957,114.9042,2020-01-23,5,0,0,5,WPRO
Hong Kong,China,22.3,114.2,2020-01-23,2,0,0,2,WPRO
Hubei,China,30.9756,112.2707,2020-01-23,444,17,28,399,WPRO
Hunan,China,27.6104,111.7088,2020-01-23,9,0,0,9,WPRO
Inner Mongolia,China,44.0935,113.9448,2020-01-23,0,0,0,0,WPRO
Jiangsu,China,32.9711,119.455,2020-01-23,5,0,0,5,WPRO
Jiangxi,China,27.614,115.7221,2020-01-23,7,0,0,7,WPRO
Jilin,China,43.6661,126.1923,2020-01-23,1,0,0,1,WPRO
Liaoning,China,41.2956,122.6085,2020-01-23,3,0,0,3,WPRO
Macau,China,22.1667,113.55,2020-01-23,2,0,0,2,WPRO
Ningxia,China,37.2692,106.1655,2020-01-23,1,0,0,1,WPRO
Qinghai,China,35.7452,95.9956,2020-01-23,0,0,0,0,WPRO
Shaanxi,China,35.1917,108.8701,2020-01-23,3,0,0,3,WPRO
Shandong,China,36.3427,118.1498,2020-01-23,6,0,0,6,WPRO
Shanghai,China,31.201999999999998,121.4491,2020-01-23,16,0,0,16,WPRO
Shanxi,China,37.5777,112.2922,2020-01-23,1,0,0,1,WPRO
Sichuan,China,30.6171,102.7103,2020-01-23,8,0,0,8,WPRO
Tianjin,China,39.3054,117.323,2020-01-23,4,0,0,4,WPRO
Tibet,China,31.6927,88.0924,2020-01-23,0,0,0,0,WPRO
Xinjiang,China,41.1129,85.2401,2020-01-23,2,0,0,2,WPRO
Yunnan,China,24.974,101.48700000000001,2020-01-23,2,0,0,2,WPRO
Zhejiang,China,29.1832,120.0934,2020-01-23,27,0,0,27,WPRO
,Colombia,4.5709,-74.2973,2020-01-23,0,0,0,0,PAHO
,Republic of the Congo,-0.228,15.8277,2020-01-23,0,0,0,0,AFRO
,Democratic Republic of the Congo,-4.0383,21.7587,2020-01-23,0,0,0,0,AFRO
,Costa Rica,9.7489,-83.7534,2020-01-23,0,0,0,0,PAHO
,Cote d'Ivoire,7.54,-5.5471,2020-01-23,0,0,0,0,AFRO
,Croatia,45.1,15.2,2020-01-23,0,0,0,0,EURO
,Cuba,21.521757,-77.78116700000002,2020-01-23,0,0,0,0,PAHO
,Cyprus,35.1264,33.4299,2020-01-23,0,0,0,0,EURO
,Czechia,49.8175,15.472999999999999,2020-01-23,0,0,0,0,EURO
Faroe Islands,Denmark,61.8926,-6.9118,2020-01-23,0,0,0,0,EURO
Greenland,Greenland,71.7069,-42.6043,2020-01-23,0,0,0,0,EURO
,Denmark,56.2639,9.5018,2020-01-23,0,0,0,0,EURO
,Djibouti,11.8251,42.5903,2020-01-23,0,0,0,0,EMRO
,Dominican Republic,18.7357,-70.1627,2020-01-23,0,0,0,0,PAHO
